graphspec,vertices,CNF,VC1,VC2
1,5,726,8,6
2,5,611,6,4
3,5,619,6,4
4,5,222,5,4
5,5,217,5,4
6,10,9588,10,6
7,10,2913,9,5
8,10,9838,9,8
9,10,113902,10,5
10,10,11689,9,5
11,15,1841309,13,8
12,15,33854055,13,7
13,15,1978152,13,7
14,15,1905755,14,7
15,15,29903836,14,7
16,20,300000000,19,9
17,20,300000000,18,6
18,20,300000000,18,6
19,20,300000000,17,6
20,20,300000000,12,8
21,25,300000000,21,7
22,25,300000000,17,13
23,25,300000000,21,9
24,25,300000000,21,11
25,25,300000000,23,8
26,30,300000000,24,10
27,30,300000000,26,10
28,30,300000000,25,10
29,30,300000000,27,10
30,30,300000000,24,10
31,35,300000000,32,12
32,35,300000000,31,12
33,35,300000000,32,12
34,35,300000000,32,12
35,35,300000000,33,12
36,40,300000000,38,13
37,40,300000000,36,14
38,40,300000000,39,13
39,40,300000000,36,13
40,40,300000000,37,13
41,45,300000000,40,15
42,45,300000000,42,14
43,45,300000000,33,14
44,45,300000000,44,14
45,45,300000000,43,15
46,50,300000000,47,16
47,50,300000000,49,16
48,50,300000000,47,17
49,50,300000000,50,15
50,50,300000000,35,19
